2019,2018,2017,2016,2015
User: 8.1,User: 8.3,User: 8.0,User: tbd,User: 8.6
30-Aug-19,21-Sep-18,31-Mar-17,18-Nov-16,16-Oct-15
Guy,Sweetener,Paradise [EP],Fingers Crossed,Vertigo
80,81,80,80,79
Steve Earle & the Dukes,Ariana Grande,Anohni,Ian Hunter,The Necks
User: tbd,User: 7.5,User: 6.8,User: 7.0,User: tbd
29-Mar-19,17-Aug-18,17-Mar-17,16-Sep-16,30-Oct-15
Three Chords and the Truth,The Crossing,Freedom Highway,Pretty Years,"Apocalypse, Girl"
80,81,80,80,79
Van Morrison,Alejandro Escovedo,Rhiannon Giddens,Cymbals Eat Guitars,Jenny Hval
User: 6.0,User: tbd,User: 8.4,User: 7.6,User: 8.3
25-Oct-19,14-Sep-18,24-Feb-17,16-Sep-16,9-Jun-15
Goes West,We're Not Talking,Stellular,Going Down in History,Didn't He Ramble
80,80,80,80,79
William Tyler,The Goon Sax,Rose Elinor Dougall,Waco Brothers,Glen Hansard
User: 6.6,User: 7.0,User: 7.5,User: tbd,User: 7.1
25-Jan-19,14-Sep-18,20-Jan-17,26-Feb-16,18-Sep-15
Wraith,Devotion,No Future,Night Thoughts,Sol Invictus
80,80,80,80,79
Teeth of the Sea,Tirzah,Moire,Suede,Faith No More
User: 5.7,User: 7.5,User: tbd,User: 8.1,User: 8.1
22-Feb-19,10-Aug-18,17-Feb-17,22-Jan-16,19-May-15
American Football (LP3),She Remembers Everything,Crystal Fairy,Give a Glimpse of What Yer Not,Peacers
80,80,80,80,79
American Football,Rosanne Cash,Crystal Fairy,Dinosaur Jr.,Peacers
User: 8.0,User: 7.5,User: tbd,User: 8.1,User: tbd
22-Mar-19,2-Nov-18,24-Feb-17,5-Aug-16,17-Jul-15
Admission,New Path,In Between,Fading Lines,Alternative Light Source
80,80,80,80,79
Torche,Essaie Pas,The Feelies,Amber Arcades,Leftfield
User: 6.5,User: tbd,User: tbd,User: 8.3,User: 8.0
12-Jul-19,16-Mar-18,24-Feb-17,3-Jun-16,8-Jun-15
Dog Whistle,Forth Wanderers,Pleasure,Yes Lawd!,Grievances
80,80,80,80,79
Show Me the Body,Forth Wanderers,Feist,NxWorries,Rolo Tomassi
User: 7.2,User: 7.9,User: 8.0,User: 8.3,User: tbd
29-Mar-19,27-Apr-18,28-Apr-17,21-Oct-16,1-Jun-15
Future Ruins,Ventriloquism,Music for the Age of Miracles,Apricity,I Am a Problem: Mind in Pieces
80,80,80,80,79
Swervedriver,Meshell Ndegeocello,The Clientele,Syd Arthur,Wolf Eyes
User: 7.6,User: 8.6,User: 7.4,User: 6.8,User: tbd
25-Jan-19,16-Mar-18,22-Sep-17,21-Oct-16,30-Oct-15
Flamagra,I Need To Start a Garden,The Ooz,At Swim,Same As You
80,80,80,80,79
Flying Lotus,Haley Heynderickx,King Krule,Lisa Hannigan,Polar Bear
User: 7.8,User: 8.1,User: 8.2,User: 8.6,User: 7.4
24-May-19,9-Mar-18,13-Oct-17,19-Aug-16,14-Apr-15
My Finest Work Yet,"The Louder I Call, The Faster It Runs",Always Foreign,A Man Alive,Before The World Was Big
80,80,80,80,79
Andrew Bird,Wye Oak,The World Is a Beautiful Place & I Am No Longer Afraid to Die,Thao & the Get Down Stay Down,Girlpool
User: 8.3,User: 7.8,User: 7.6,User: 7.9,User: 7.9
22-Mar-19,6-Apr-18,29-Sep-17,4-Mar-16,2-Jun-15
Rainford,Pulse/Quartet,Precious Art,Pillars of Ash,La Vie Est Belle
80,80,80,80,79
"Lee ""Scratch"" Perry",Steve Reich,Rozwell Kid,Black Tusk,Petite Noir
User: tbd,User: tbd,User: 7.1,User: 7.2,User: 7.0
31-May-19,2-Feb-18,23-Jun-17,29-Jan-16,11-Sep-15
Jinx,Noonday Dream,After the Party,Golden Sings That Have Been Sung,Sexwitch
80,80,80,80,79
Crumb,Ben Howard,The Menzingers,Ryley Walker,Sexwitch
User: 8.1,User: 8.2,User: 8.0,User: 6.8,User: 7.3
14-Jun-19,1-Jun-18,3-Feb-17,19-Aug-16,25-Sep-15
Further,Black Panther: The Album,Hallelujah Anyhow,Big Baby D.R.A.M.,Restarter
80,80,80,80,79
Richard Hawley,Original Soundtrack,Hiss Golden Messenger,D.R.A.M.,Torche
User: tbd,User: 7.8,User: 7.5,User: 7.8,User: 6.5
31-May-19,9-Feb-18,22-Sep-17,21-Oct-16,24-Feb-15
No Home Record,7,Bill Orcutt,Fever Dream,90059
80,80,80,80,79
Kim Gordon,Beach House,Bill Orcutt,Ben Watt,Jay Rock
User: 7.8,User: 8.2,User: tbd,User: 8.5,User: 7.6
11-Oct-19,11-May-18,30-Jun-17,8-Apr-16,11-Sep-15
Compliments Please,Fever,Face Your Fear,Broken Knowz,Inji
80,80,80,80,79
Self Esteem,Black Milk,Curtis Harding,Jay Daniel,LA Priest
User: 8.8,User: 8.2,User: 8.7,User: tbd,User: 8.2
1-Mar-19,23-Feb-18,27-Oct-17,25-Nov-16,30-Jun-15
Assume Form,Another Life,"From a Room, Vol. 2",Fleeting,Teens of Style
80,80,80,79,79
James Blake,Amnesia Scanner,Chris Stapleton,Glenn Jones,Car Seat Headrest
User: 8.2,User: tbd,User: 7.6,User: tbd,User: 7.2
18-Jan-19,7-Sep-18,1-Dec-17,18-Mar-16,30-Oct-15
Side Effects,The Morning Star,I Love You Like a Brother,Physicalist,Half Free
80,80,80,79,79
White Denim,Daniel Bachman,Alex Lahey,Forma,U.S. Girls
User: 6.0,User: tbd,User: 7.4,User: tbd,User: 8.3
29-Mar-19,27-Jul-18,6-Oct-17,23-Sep-16,25-Sep-15
"I, I",Overload,The Incessant,Psi,EarthEE
80,80,80,79,79
Bon Iver,Georgia Anne Muldrow,Meat Wave,patten,THEESatisfaction
User: 7.9,User: 7.8,User: tbd,User: tbd,User: 7.5
30-Aug-19,26-Oct-18,17-Feb-17,16-Sep-16,24-Feb-15
Animated Violence Mild,Power,Little Fictions,The Ship,Dark Matter/Dark Energy
80,80,80,79,79
Blanck Mass,Lotic,Elbow,Brian Eno,The Membranes
User: 7.6,User: 7.5,User: 7.9,User: 7.7,User: tbd
16-Aug-19,13-Jul-18,3-Feb-17,29-Apr-16,10-Jul-15
Powers,Vanished Gardens,Wake in Fright,The Magic,Universal Themes
80,80,80,79,79
The Futureheads,Charles Lloyd & the Marvels,Uniform,Deerhoof,Sun Kil Moon
User: 8.0,User: tbd,User: tbd,User: 7.8,User: 7.6
30-Aug-19,29-Jun-18,20-Jan-17,24-Jun-16,2-Jun-15
Horizon,Tell Me How You Really Feel,Triplicate,Nothing's Real,Songs to Play
80,80,80,79,79
Trash Kit,Courtney Barnett,Bob Dylan,Shura,Robert Forster
User: 5.4,User: 8.1,User: 8.2,User: 8.5,User: 8.0
5-Jul-19,18-May-18,31-Mar-17,8-Jul-16,18-Sep-15
Black Friday,Hundreds of Days,Rest,Daze,Hollow Meadows
80,80,80,79,79
Palehound,Mary Lattimore,Charlotte Gainsbourg,Brood Ma,Richard Hawley
User: 7.3,User: tbd,User: 8.5,User: tbd,User: tbd
7-Jun-19,18-May-18,17-Nov-17,19-Feb-16,11-Sep-15
Keepsake,Vessel,Ruinism,Blisters in the Pit of My Heart,Age of Transparency
80,80,80,79,79
Hatchie,Frankie Cosmos,Lapalux,Martha,Autre Ne Veut
User: 8.8,User: 7.4,User: 8.8,User: tbd,User: 8.7
21-Jun-19,30-Mar-18,30-Jun-17,1-Jul-16,2-Oct-15
Charli,Faithful Fairy Harmony,Mnestic Pressure,The Hope Six Demolition Project,Abandoned
80,80,80,79,79
Charli XCX,Josephine Foster,Lee Gamble,PJ Harvey,Defeater
User: 8.6,User: tbd,User: tbd,User: 6.6,User: 8.8
13-Sep-19,16-Nov-18,20-Oct-17,15-Apr-16,28-Aug-15
Pang!,Grid of Points,Americana,Empire Builder,Heartbreak Pass
80,80,80,79,79
Gruff Rhys,Grouper,Ray Davies,Laura Gibson,Giant Sand
User: tbd,User: 8.2,User: 6.8,User: 8.7,User: tbd
13-Sep-19,27-Apr-18,21-Apr-17,1-Apr-16,4-May-15
The Center Won't Hold,Lush,Drunk,Cody,Beings
80,80,80,79,79
Sleater-Kinney,Snail Mail,Thundercat,Joyce Manor,Lanterns on the Lake
User: 7.4,User: 8.0,User: 8.0,User: 7.3,User: 7.8
16-Aug-19,8-Jun-18,24-Feb-17,7-Oct-16,13-Nov-15
The Highwomen,Fixed Ideals,The Wild,Standards,Big GRRRL Small World
80,80,80,79,79
The Highwomen,Muncie Girls,Raekwon,Into It. Over It.,Lizzo
User: 7.7,User: tbd,User: 7.6,User: 7.3,User: 8.6
6-Sep-19,31-Aug-18,24-Mar-17,11-Mar-16,11-Dec-15
Serfs Up!,Everything is Love,Out in the Storm,Astronaut Meets Appleman,Rivers and Streams
80,80,80,79,79
Fat White Family,The Carters,Waxahatchee,King Creosote,Lubomyr Melnyk
User: 7.6,User: 7.0,User: 8.0,User: tbd,User: tbd
19-Apr-19,16-Jun-18,14-Jul-17,2-Sep-16,27-Nov-15
Love Keeps Kicking,Desperate Man,La Confusion,Post Pop Depression,Act IV: Rebirth in Reprise
80,80,80,79,79
Martha,Eric Church,Amadou & Mariam,Iggy Pop,The Dear Hunter
User: tbd,User: 7.1,User: tbd,User: 7.9,User: 8.7
5-Apr-19,5-Oct-18,22-Sep-17,18-Mar-16,4-Sep-15
ONDA,Performance,4eva Is a Mighty Long Time,Schmilco,Signs Under Test
80,80,80,79,79
Jambinai,White Denim,Big K.R.I.T.,Wilco,John Tejada
User: 7.8,User: 7.8,User: 8.2,User: 7.8,User: 8.0
7-Jun-19,24-Aug-18,27-Oct-17,9-Sep-16,3-Feb-15
The Flower and the Vessel,A Laughing Death in Meatspace,How Did I Find Myself Here?,I AKA I,Knockin' Boots
80,80,80,79,79
Félicia Atkinson,Tropical Fuck Storm,The Dream Syndicate,Ash Koosha,Julio Bashmore
User: tbd,User: 8.0,User: 8.3,User: 7.1,User: 8.7
5-Jul-19,26-Oct-18,8-Sep-17,15-Apr-16,10-Jul-15
Face Stabber,Infinite Moment,Beast Epic,Love Letter for Fire,Infinite House
80,80,80,79,79
Oh Sees,The Field,Iron & Wine,Sam Beam,Ava Luna
User: 8.0,User: tbd,User: 7.6,User: 8.0,User: 8.3
16-Aug-19,21-Sep-18,25-Aug-17,15-Apr-16,14-Apr-15
No Geography,Bad Contestant,Good Time [Original Motion Picture Soundtrack],2013,Tied to the Moon
79,80,80,79,79
The Chemical Brothers,Matt Maltese,Oneohtrix Point Never,Meilyr Jones,Rachel Sermanni
User: 8.1,User: 7.6,User: 8.3,User: 6.2,User: tbd
12-Apr-19,8-Jun-18,11-Aug-17,18-Mar-16,10-Jul-15
Full Upon Her Burning Lips,Goat Girl,Life Is Fine,Good Luck and Do Your Best,Beat the Champ
79,80,80,79,79
Earth,Goat Girl,Paul Kelly,Gold Panda,The Mountain Goats
User: 8.2,User: 8.0,User: tbd,User: 8.0,User: 8.1
24-May-19,6-Apr-18,11-Aug-17,27-May-16,7-Apr-15
Sound & Fury,Three/Three,Poor David's Almanack,No Burden,The Velvet Trail
79,80,80,79,79
Sturgill Simpson,Dabrye,David Rawlings,Lucy Dacus,Marc Almond
User: 8.7,User: tbd,User: tbd,User: 7.7,User: tbd
27-Sep-19,16-Feb-18,11-Aug-17,1-Apr-16,9-Mar-15
Shlon,Still Trippin',Also Sprach Zarathustra,Here,Sermon on the Rocks
79,80,80,79,79
Omar Souleyman,DJ Taye,Laibach,Teenage Fanclub,Josh Ritter
User: tbd,User: tbd,User: tbd,User: 7.8,User: 8.0
22-Nov-19,2-Mar-18,14-Jul-17,9-Sep-16,16-Oct-15
Lux Prima,C'est La Vie,Exile in the Outer Ring,The Last Panthers,Captain of None
79,80,80,79,79
Karen O,Phosphorescent,EMA,Clark,Colleen
User: 8.0,User: 7.4,User: 7.9,User: tbd,User: tbd
15-Mar-19,5-Oct-18,25-Aug-17,18-Mar-16,7-Apr-15
The Unseen In Between,King of Cowards,Fabriclive 93,Shape Shift with Me,Algiers
79,80,80,79,79
Steve Gunn,Pigs Pigs Pigs Pigs Pigs Pigs Pigs,Daphni,Against Me!,Algiers
User: 7.2,User: tbd,User: tbd,User: 7.4,User: 7.5
18-Jan-19,28-Sep-18,21-Jul-17,16-Sep-16,2-Jun-15
Hoodies All Summer,MassEducation [2018],"A Flame My Love, a Frequency",The King of Whys,Don't Weigh Down the Light
79,80,80,79,79
Kano,St. Vincent,Colleen,Owen,Meg Baird
User: 8.1,User: 8.0,User: tbd,User: tbd,User: tbd
30-Aug-19,12-Oct-18,20-Oct-17,29-Jul-16,23-Jun-15
No More Normal,World's Strongest Man,Hey Mr Ferryman,City Sun Eater in the River of Light,Silver Bullets
79,80,80,79,79
Swindle,Gaz Coombes,Mark Eitzel,Woods,The Chills
User: tbd,User: 8.3,User: 7.1,User: 8.5,User: 8.3
25-Jan-19,4-May-18,27-Jan-17,8-Apr-16,30-Oct-15
Reflections,Hollow Ground,Reassemblage,Arcology,A Dream Outside
79,80,80,79,79
Hannah Diamond,Cut Worms,Visible Cloaks,Thug Entrancer,Gengahr
User: 6.4,User: tbd,User: 7.4,User: tbd,User: 8.3
22-Nov-19,4-May-18,17-Feb-17,4-Mar-16,16-Jun-15
Feral Roots,Physical,Robyn Hitchcock,Masterpiece,Mothers
79,79,80,79,79
Rival Sons,Gabe Gurnsey,Robyn Hitchcock,Big Thief,Swim Deep
User: 8.2,User: 7.5,User: 7.9,User: 8.6,User: 8.3
25-Jan-19,3-Aug-18,21-Apr-17,27-May-16,18-Sep-15
Tiny Changes: A Celebration of Frightened Rabbit's The Midnight Organ Fight,Knowing What You Know Now,Music for People in Trouble,Good Times!,II
79,79,80,79,79
Various Artists,Marmozets,Susanne Sundfør,The Monkees,Fuzz
User: 8.6,User: 7.7,User: 8.7,User: 8.5,User: 8.3
12-Jul-19,26-Jan-18,25-Aug-17,27-May-16,23-Oct-15
Psychedelic Country Soul,"Come Over When You’re Sober, Pt. 2",City Music,The Healing Component,The Most Lamentable Tragedy
79,79,80,79,79
The Long Ryders,Lil Peep,Kevin Morby,Mick Jenkins,Titus Andronicus
User: tbd,User: 7.5,User: 7.5,User: 7.5,User: 7.8
15-Feb-19,9-Nov-18,16-Jun-17,23-Sep-16,28-Jul-15
So Much Fun,Here Lies the Body,Powerplant,When You Walk a Long Distance You Are Tired,Pageant Material
79,79,80,79,79
Young Thug,Aidan Moffat,Girlpool,Mothers,Kacey Musgraves
User: 8.0,User: tbd,User: 7.4,User: 8.0,User: 8.5
16-Aug-19,11-May-18,12-May-17,26-Feb-16,23-Jun-15
Lost Wisdom pt. 2,Wanderer,T2: Trainspotting [Original Motion Picture Soundtrack],Alas Salvation,Abyss
79,79,80,79,79
Mount Eerie,Cat Power,Original Soundtrack,Yak,Chelsea Wolfe
User: 6.7,User: 8.3,User: tbd,User: 7.0,User: 8.6
8-Nov-19,5-Oct-18,3-Feb-17,13-May-16,7-Aug-15
Anoyo,Emanon,All This I Do for Glory,Paradise,Garden of Delete
79,79,80,79,79
Tim Hecker,Wayne Shorter,Colin Stetson,White Lung,Oneohtrix Point Never
User: 7.9,User: tbd,User: 7.9,User: 7.9,User: 8.4
10-May-19,14-Sep-18,28-Apr-17,6-May-16,13-Nov-15
Grim Town,Last Building Burning,Other,"Frkwys, Vol. 13: Sunergy",Culture of Volume
79,79,80,79,78
SOAK,Cloud Nothings,Alison Moyet,Kaitlyn Aurelia Smith,East India Youth
User: 7.0,User: 7.5,User: 7.0,User: tbd,User: 7.6
26-Apr-19,19-Oct-18,16-Jun-17,16-Sep-16,7-Apr-15
First Taste,Songs of the Plains,I Tell a Fly,Forever Sounds,Exhausting Fire
79,79,80,79,78
Ty Segall,Colter Wall,Benjamin Clementine,Wussy,Kylesa
User: 8.5,User: 7.6,User: 7.8,User: 6.3,User: 8.3
2-Aug-19,12-Oct-18,6-Oct-17,4-Mar-16,2-Oct-15
Colorado,DNA Feelings,The Optimist,Hella Personal Film Festival,Edition 1
79,79,80,79,78
Neil Young & Crazy Horse,Aïsha Devi,Anathema,Open Mike Eagle,King Midas Sound
User: 6.8,User: tbd,User: 8.1,User: 7.7,User: 6.8
25-Oct-19,11-May-18,9-Jun-17,25-Mar-16,18-Sep-15
Satis Factory,Twerp Verse,I'm Not Your Man,Until the Hunter,Ghost Notes
79,79,80,79,78
Mattiel,Speedy Ortiz,Marika Hackman,Hope Sandoval & the Warm Inventions,Veruca Salt
User: 6.6,User: 7.4,User: 7.8,User: 8.1,User: 8.0
14-Jun-19,27-Apr-18,2-Jun-17,4-Nov-16,10-Jul-15
I Need a New War,May Your Kindness Remain,Bobby Fuller Died for Your Sins,Sirens,Undertow
79,79,80,79,78
Craig Finn,Courtney Marie Andrews,Chuck Prophet,Nicolas Jaar,Drenge
User: 8.2,User: 6.5,User: 7.9,User: 8.0,User: 8.3
26-Apr-19,23-Mar-18,10-Feb-17,30-Sep-16,7-Apr-15
What It Is,Lifted,A Black Mile to the Surface,Preoccupations,The Things We Do To Find People Who Feel Like Us
79,79,79,79,78
Hayes Carll,Israel Nash,Manchester Orchestra,Preoccupations,Beach Slang
User: 7.5,User: tbd,User: 8.2,User: 8.3,User: 8.1
15-Feb-19,27-Jul-18,28-Jul-17,16-Sep-16,30-Oct-15
Live in London,Twisted Crystal,More Life [Mixtape],Commontime,Shadow of a Doubt
79,79,79,79,78
Mavis Staples,Guerilla Toss,Drake,Field Music,Freddie Gibbs
User: tbd,User: tbd,User: 6.8,User: 8.5,User: 8.2
8-Feb-19,14-Sep-18,18-Mar-17,5-Feb-16,20-Nov-15
You Tell Me,Smote Reverser,God's Problem Child,Mystère,In Another Life
79,79,79,79,78
You Tell Me,Oh Sees,Willie Nelson,La Femme,Bilal
User: 6.7,User: 7.9,User: 8.8,User: 7.7,User: 8.1
11-Jan-19,17-Aug-18,28-Apr-17,2-Sep-16,30-Jun-15
Tip Of The Sphere,Constant Image,A World of Masks,The Yard Work Simulator,The Expanding Flower Planet
79,79,79,79,78
Cass McCombs,Flasher,The Heliocentrics,Max Graef,Deradoorian
User: 7.6,User: tbd,User: 8.0,User: tbd,User: 8.6
8-Feb-19,8-Jun-18,26-May-17,27-May-16,21-Aug-15
Closer to Grey,Book of Bad Decisions,Near to the Wild Heart of Life,You Know What It's Like,Coming Home
79,79,79,79,78
Chromatics,Clutch,Japandroids,Carla dal Forno,Leon Bridges
User: 8.0,User: 7.4,User: 7.7,User: tbd,User: 7.9
2-Oct-19,7-Sep-18,27-Jan-17,28-Oct-16,23-Jun-15
Pale Bloom,Rausch,In Spades,Under the Sun,Meliora
79,79,79,79,78
Sarah Davachi,Gas,The Afghan Whigs,Mark Pritchard,Ghost / Ghost B.C.
User: tbd,User: 7.9,User: 6.9,User: 7.3,User: 8.8
21-Jun-19,18-May-18,5-May-17,13-May-16,21-Aug-15
Drift Code,I'll Tell You What!,Intoxicated Women,Slugger,Escape From Evil
79,79,79,79,78
Rustin Man,RP Boo,Mick Harvey,Sad13,Lower Dens
User: 7.0,User: tbd,User: 6.8,User: 6.8,User: 8.2
1-Feb-19,6-Jul-18,20-Jan-17,11-Nov-16,31-Mar-15
Dedicated,Dancing Queen,Three Futures,Spiritual Songs For Lovers To Sing,Ripe 4 Luv
79,79,79,79,78
Carly Rae Jepsen,Cher,Torres,LUH,Young Guv
User: 8.9,User: 7.5,User: 7.3,User: 8.0,User: 6.7
17-May-19,28-Sep-18,29-Sep-17,6-May-16,10-Mar-15
WHO,Novelist Guy,Across the Multiverse,Magma,Spaces Everywhere
79,79,79,79,78
The Who,Novelist,Dent May,Gojira,The Monochrome Set
User: 7.4,User: tbd,User: 8.2,User: 8.5,User: tbd
6-Dec-19,13-Apr-18,18-Aug-17,17-Jun-16,17-Mar-15
Wheeltappers and Shunters,Head Cage,III,Dolls Of Highland,Rub
79,79,79,79,78
Clinic,Pig Destroyer,Makthaverskan,Kyle Craft,Peaches
User: tbd,User: tbd,User: tbd,User: 7.6,User: 7.6
10-May-19,7-Sep-18,20-Oct-17,29-Apr-16,25-Sep-15
No Treasure But Hope,Could It Be Different?,Cage Tropical,Orphée,Holding Hands With Jamie
79,79,79,79,78
Tindersticks,The Spook School,Frankie Rose,Jóhann Jóhannsson,Girl Band
User: 6.3,User: 6.9,User: 8.0,User: 8.9,User: 8.4
15-Nov-19,26-Jan-18,11-Aug-17,16-Sep-16,25-Sep-15
Ma,Foxwarren,Bandwagonesque,Heaven Adores You [Original Motion Picture Soundtrack],Nozinja Lodge
79,79,79,79,78
Devendra Banhart,Foxwarren,Ben Gibbard,Elliott Smith,Nozinja
User: 8.0,User: tbd,User: 7.4,User: tbd,User: tbd
13-Sep-19,30-Nov-18,28-Jul-17,5-Feb-16,2-Jun-15
Phoenix,Love Is Magic,Lotta Sea Lice,"COW / Chill Out, World!",Nature
79,78,79,78,78
Pedro the Lion,John Grant,Courtney Barnett,The Orb,Valet
User: 7.0,User: 7.2,User: 7.5,User: tbd,User: tbd
18-Jan-19,12-Oct-18,13-Oct-17,14-Oct-16,26-May-15
Lover,Black Velvet,Every Country's Sun,"I, Gemini",Tangier Sessions
79,78,79,78,78
Taylor Swift,Charles Bradley,Mogwai,Let's Eat Grandma,Sir Richard Bishop
User: 8.4,User: 7.0,User: 7.9,User: 8.3,User: tbd
23-Aug-19,9-Nov-18,1-Sep-17,17-Jun-16,16-Feb-15
Ignorance Is Bliss,K.O.,"Dirty Pictures, Pt. 1",Love You To Death,Dry Food
79,78,79,78,78
Skepta,Miss Red,Low Cut Connie,Tegan and Sara,Palehound
User: 8.1,User: tbd,User: tbd,User: 8.2,User: 8.6
31-May-19,13-Jul-18,19-May-17,3-Jun-16,14-Aug-15
Hollywood's Bleeding,A Star Is Born [Original Motion Picture Soundtrack],Man vs. Sofa,Né So,My Love Is Cool
79,78,79,78,78
Post Malone,Lady Gaga,Sherwood & Pinch,Rokia Traoré,Wolf Alice
User: 7.3,User: 8.4,User: tbd,User: tbd,User: 8.8
6-Sep-19,5-Oct-18,24-Feb-17,12-Feb-16,23-Jun-15
In the Morse Code of Brake Lights,Understand What Black Is,Heba,MartyrLoserKing,The Names
78,78,79,78,78
The New Pornographers,The Last Poets,Lowly,Saul Williams,Baio
User: 8.5,User: tbd,User: tbd,User: 7.6,User: tbd
27-Sep-19,18-May-18,10-Feb-17,29-Jan-16,18-Sep-15
Nighttime Birds and Morning Stars,Dionysus,Earl Grey,Congrats,Makes a King
78,78,79,78,78
Sarah Louise,Dead Can Dance,Girl Ray,Holy Fuck,The Very Best
User: tbd,User: 7.9,User: 6.8,User: 8.6,User: tbd
25-Jan-19,2-Nov-18,4-Aug-17,27-May-16,7-Apr-15
Isa,Mother,Tribute to Ndiouga Dieng,Transcendence,Seasonal Hire
78,78,79,78,78
Croatian Amor,Xylouris White,Orchestra Baobab,Devin Townsend Project,Steve Gunn
User: tbd,User: 7.6,User: tbd,User: 8.1,User: tbd
1-Feb-19,19-Jan-18,31-Mar-17,9-Sep-16,24-Feb-15
What a Boost,Dungeness,Neuk Wight Delhi All-Stars,Away,FFS
78,78,79,78,78
Rozi Plain,Trembling Bells,James Yorkston,Okkervil River,FFS
User: 7.7,User: tbd,User: tbd,User: 8.3,User: 8.0
5-Apr-19,30-Mar-18,7-Apr-17,9-Sep-16,9-Jun-15
Cala,Con Todo El Mundo,Feel Infinite,In the Magic Hour,Late Nights: The Album
78,78,79,78,78
Fionn Regan,Khruangbin,Jacques Greene,Aoife O'Donovan,Jeremih
User: tbd,User: 7.6,User: 7.0,User: 8.5,User: 8.1
16-Aug-19,26-Jan-18,24-Mar-17,22-Jan-16,4-Dec-15
Where the Action Is,Bottle It In,Unfold,Eternally Even,Riot Boi
78,78,79,78,78
The Waterboys,Kurt Vile,The Necks,Jim James,Le1f
User: tbd,User: 7.8,User: tbd,User: 8.0,User: 6.8
24-May-19,12-Oct-18,10-Feb-17,4-Nov-16,13-Nov-15
Boat,Swimming,Garden of Ashes,The Follower,Illegals in Heaven
78,78,79,78,78
Pip Blom,Mac Miller,Duke Garwood,The Field,Blank Realm
User: 8.3,User: 8.3,User: 7.4,User: 8.2,User: tbd
31-May-19,3-Aug-18,3-Feb-17,1-Apr-16,4-Sep-15
Ladytron,The Nature of Imitation,This Old Dog,Wabi Sabi,Power in the Blood
78,78,79,78,78
Ladytron,Dorian Concept,Mac DeMarco,Cross Record,Buffy Sainte-Marie
User: 7.5,User: tbd,User: 8.1,User: tbd,User: tbd
15-Feb-19,3-Aug-18,5-May-17,29-Jan-16,12-May-15
To Believe,Ghost Forests,Prisoner,Boy King,Skullsplitter
78,78,79,78,78
The Cinematic Orchestra,Meg Baird,Ryan Adams,Wild Beasts,Eric Chenaux
User: 7.8,User: tbd,User: 8.0,User: 8.0,User: tbd
15-Mar-19,9-Nov-18,17-Feb-17,5-Aug-16,17-Feb-15
Better Oblivion Community Center,Twentytwo in Blue,Real High,Suicide Songs,Acorn Man
78,78,79,78,78
Better Oblivion Community Center,Sunflower Bean,Nite Jewel,MONEY,Wild Billy Childish & CTMF
User: 7.7,User: 7.4,User: 7.7,User: 7.1,User: tbd
24-Jan-19,23-Mar-18,5-May-17,29-Jan-16,27-Jan-15
Somebody's Knocking,Criminal,All the Way,Color,Man It Feels Like Space Again
78,78,79,78,78
Mark Lanegan Band,The Soft Moon,Diamanda Galás,Katie Gately,Pond
User: 8.1,User: 7.8,User: tbd,User: 8.6,User: 8.3
18-Oct-19,2-Feb-18,24-Mar-17,14-Oct-16,26-Jan-15
Run Around the Sun,Widdershins,Make It Be,Telling It Like It Is,Nervous
78,78,79,78,78
Sacred Paws,Grant-Lee Phillips,R. Stevie Moore,Marching Church,Siskiyou
User: tbd,User: tbd,User: tbd,User: tbd,User: tbd
31-May-19,23-Feb-18,10-Mar-17,28-Oct-16,20-Jan-15
Metronomy Forever,A Humdrum Star,Bicep,Blue Mountain,SremmLife
78,78,79,78,78
Metronomy,GoGo Penguin,Bicep,Bob Weir,Rae Sremmurd
User: 8.8,User: 8.2,User: 8.4,User: tbd,User: 6.6
13-Sep-19,9-Feb-18,1-Sep-17,30-Sep-16,6-Jan-15
The Devil You Know,Christmas Everywhere,Republique Amazone,Return to Love,If You're Reading This It's Too Late [Mixtape]
78,78,79,78,78
The Coathangers,Rodney Crowell,Les Amazones d'Afrique,LVL UP,Drake
User: tbd,User: tbd,User: tbd,User: 7.5,User: 7.7
8-Mar-19,2-Nov-18,31-Mar-17,23-Sep-16,13-Feb-15
Useless Coordinates,Call the Comet,Compassion,Nocturnal Koreans,Deep in the Iris
78,78,79,78,78
Drahla,Johnny Marr,Forest Swords,Wire,Braids
User: tbd,User: 7.8,User: 7.9,User: 6.6,User: 7.7
3-May-19,15-Jun-18,5-May-17,22-Apr-16,28-Apr-15
The S.L.P.,Clean,Graveyard Whistling,2,Dream a Garden
78,78,79,78,78
The S.L.P.,Soccer Mommy,Old 97's,Mudcrutch,Jam City
User: 8.1,User: 8.1,User: 8.4,User: 6.3,User: tbd
30-Aug-19,2-Mar-18,24-Feb-17,20-May-16,24-Mar-15
Equivalents,Tearing at the Seams,Orc,Hit Reset,The Original Faces
78,78,79,78,78
Loscil,Nathaniel Rateliff & the Night Sweats,Oh Sees,The Julie Ruin,Helen
User: tbd,User: 8.4,User: 8.2,User: 8.3,User: tbd
16-Aug-19,9-Mar-18,25-Aug-17,8-Jul-16,4-Sep-15
Big Wows,I Can Feel You Creep Into My Private Life,Life Without Sound,Ruins,+ -
78,78,79,78,78
Stealing Sheep,tUnE-yArDs,Cloud Nothings,Wolf People,Mew
User: 8.5,User: 7.5,User: 7.6,User: tbd,User: 8.3
19-Apr-19,19-Jan-18,27-Jan-17,11-Nov-16,28-Apr-15
