2019,2018,2017,2016,2015
22-Feb-19,21-Sep-18,8-Sep-17,21-Oct-16,16-Oct-15
Bird Songs of a Killjoy,DAYTONA,I See You,Singing Saw,Loyalty
85,86,85,84,85
Bedouine,Pusha T,The xx,Kevin Morby,The Weather Station
User: 6.9,User: 8.5,User: 8.1,User: 7.9,User: tbd
21-Jun-19,25-May-18,13-Jan-17,15-Apr-16,12-May-15
Amadjar,Phantom Thread [Original Motion Picture Soundtrack],Aromanticism,Before the Dawn [Live],Purple
85,86,85,84,85
Tinariwen,Jonny Greenwood,Moses Sumney,Kate Bush,Baroness
User: 7.6,User: 8.0,User: 8.2,User: 8.4,User: 8.6
6-Sep-19,9-Feb-18,22-Sep-17,2-Dec-16,18-Dec-15
Life Metal,Some Rap Songs,Interplanetary Class Classics,Emily's D+Evolution,Over and Even
85,86,85,84,85
Sunn O))),Earl Sweatshirt,The Moonlandingz,Esperanza Spalding,Joan Shelley
User: 7.5,User: 8.4,User: 7.0,User: 7.8,User: tbd
19-Apr-19,30-Nov-18,24-Mar-17,4-Mar-16,4-Sep-15
In Cauda Venenum,All at Once,Semper Femina,Lovers,Ba Power
85,86,85,84,85
Opeth,Screaming Females,Laura Marling,Nels Cline,Bassekou Kouyate & Ngoni Ba
User: 8.8,User: 7.8,User: 8.0,User: 7.2,User: 6.3
27-Sep-19,23-Feb-18,10-Mar-17,5-Aug-16,12-May-15
Patience,Knock Knock,The Weather Station,Full Circle,King Push - Darkest Before Dawn: The Prelude
85,85,85,84,85
Mannequin Pussy,DJ Koze,The Weather Station,Loretta Lynn,Pusha T
User: 7.9,User: 8.0,User: 6.7,User: 7.5,User: 8.4
21-Jun-19,4-May-18,6-Oct-17,4-Mar-16,18-Dec-15
Two Hands,Glass,Pure Comedy,Let Them Eat Chaos,Elaenia
85,85,85,84,85
Big Thief,Alva Noto,Father John Misty,Kate Tempest,Floating Points
User: 8.3,User: 7.6,User: 7.9,User: 7.9,User: 8.5
11-Oct-19,16-Feb-18,7-Apr-17,7-Oct-16,6-Nov-15
Miss Universe,Iridescence,async,Stage Four,Architect
85,85,85,84,85
Nilüfer Yanya,BROCKHAMPTON,Ryuichi Sakamoto,Touche Amore,C Duncan
User: 8.3,User: 7.9,User: 7.7,User: 8.1,User: tbd
22-Mar-19,21-Sep-18,28-Apr-17,16-Sep-16,17-Jul-15
On the Line,Ordinary Corrupt Human Love,Pageant,Forward Constant Motion,New Bermuda
85,85,85,84,85
Jenny Lewis,Deafheaven,Pwr Bttm,Virginia Wing,Deafheaven
User: 8.4,User: 8.0,User: 5.5,User: tbd,User: 8.7
22-Mar-19,13-Jul-18,12-May-17,11-Nov-16,2-Oct-15
Amo,Working Class Woman,Beautiful Thugger Girls,Cardinal,Bonxie
85,85,84,84,85
Bring Me the Horizon,Marie Davidson,Young Thug,Pinegrove,Stornoway
User: 7.5,User: 7.8,User: 7.7,User: 8.1,User: 7.6
25-Jan-19,5-Oct-18,16-Jun-17,12-Feb-16,13-Apr-15
Crushing,Transangelic Exodus,Mental Illness,Blood Bitch,Levon Vincent
85,85,84,84,85
Julia Jacklin,Ezra Furman,Aimee Mann,Jenny Hval,Levon Vincent
User: 8.1,User: 8.0,User: 7.8,User: 8.0,User: 7.6
22-Feb-19,9-Feb-18,31-Mar-17,30-Sep-16,10-Feb-15
Any Human Friend,Things Have Changed,Post Self,In My Mind,Fantasy Empire
84,85,84,84,84
Marika Hackman,Bettye LaVette,Godflesh,BJ the Chicago Kid,Lightning Bolt
User: 7.5,User: 7.3,User: tbd,User: 7.3,User: 7.3
9-Aug-19,30-Mar-18,17-Nov-17,19-Feb-16,24-Mar-15
The Age of Immunology,I'm All Ears,A Pocket of Wind Resistance,Introducing Karl Blau,Tomorrow Is My Turn
84,85,84,84,84
Vanishing Twin,Let's Eat Grandma,Karine Polwart,Karl Blau,Rhiannon Giddens
User: tbd,User: 8.1,User: tbd,User: 6.6,User: 8.5
7-Jun-19,29-Jun-18,17-Nov-17,13-May-16,10-Feb-15
It Won't Be Like This All the Time,Hell-On,Flower Boy,Varmints,The Great Pretenders
84,85,84,84,84
The Twilight Sad,Neko Case,"Tyler, The Creator",Anna Meredith,Mini Mansions
User: 8.1,User: 7.7,User: 8.7,User: 7.7,User: 8.8
18-Jan-19,1-Jun-18,21-Jul-17,4-Mar-16,24-Mar-15
Anicca,Interstate Gospel,The Curious Hand,Stillness In Wonderland,Etch And Etch Deep
84,85,84,84,84
Teebs,Pistol Annies,Seamus Fogarty,Little Simz,Haiku Salut
User: 8.3,User: 8.3,User: tbd,User: 8.4,User: 7.0
25-Oct-19,2-Nov-18,6-Oct-17,16-Dec-16,31-Jul-15
Eton Alive,Gave in Rest,It,Become Zero,Constant Bop
84,85,84,84,84
Sleaford Mods,Sarah Davachi,Alan Vega,Helen Money,Bop English
User: 7.1,User: tbd,User: tbd,User: tbd,User: 8.1
22-Feb-19,14-Sep-18,14-Jul-17,16-Sep-16,14-Apr-15
Mazy Fly,Landfall,Dust,DJ-Kicks,Mr. Misunderstood
84,85,84,83,84
Spellling,Laurie Anderson,Laurel Halo,Moodymann,Eric Church
User: 7.3,User: 6.9,User: 7.7,User: 7.6,User: 7.8
22-Feb-19,16-Feb-18,23-Jun-17,19-Feb-16,3-Nov-15
No Holiday,Ecstatic Arrow,No Shape,FLOTUS,Down to Believing
84,85,84,83,84
The Muffs,Virginia Wing,Perfume Genius,Lambchop,Allison Moorer
User: tbd,User: 7.8,User: 8.4,User: 8.1,User: tbd
18-Oct-19,8-Jun-18,5-May-17,4-Nov-16,17-Mar-15
Giants of All Sizes,Astroworld,Halo,Patch the Sky,Wildheart
84,85,84,83,84
Elbow,Travis Scott,Juana Molina,Bob Mould,Miguel
User: 7.6,User: 7.9,User: 7.9,User: 7.4,User: 8.4
11-Oct-19,3-Aug-18,5-May-17,25-Mar-16,29-Jun-15
The Imperial,Bloom,Yesterday's Gone,Konnichiwa,Currents
84,85,84,83,84
The Delines,Troye Sivan,Loyle Carner,Skepta,Tame Impala
User: 7.4,User: 8.1,User: 8.4,User: 7.8,User: 8.8
11-Jan-19,31-Aug-18,20-Jan-17,6-May-16,17-Jul-15
The Practice of Love,And Nothing Hurt,Carry Fire,Sorrow: Reimagining of Gorecki's 3rd Symphony,Second Hand Heart
84,84,84,83,84
Jenny Hval,Spiritualized,Robert Plant,Colin Stetson,Dwight Yoakam
User: 7.9,User: 7.8,User: 8.1,User: 7.8,User: 8.2
13-Sep-19,7-Sep-18,13-Oct-17,8-Apr-16,14-Apr-15
Sulphur English,Warm,Common Sense,The Party,"Asunder, Sweet and Other Distress"
84,84,84,83,84
Inter Arma,Jeff Tweedy,J Hus,Andy Shauf,Godspeed You! Black Emperor
User: tbd,User: 8.0,User: 8.2,User: 8.6,User: 8.1
12-Apr-19,30-Nov-18,12-May-17,20-May-16,31-Mar-15
The Book Of Traps and Lessons,Snares Like a Haircut,Pussycat,Light Upon the Lake,I Abused Animal
84,84,84,83,84
Kate Tempest,No Age,Juliana Hatfield,Whitney,Heather Leigh
User: 8.2,User: 7.9,User: 7.0,User: 8.7,User: tbd
14-Jun-19,26-Jan-18,28-Apr-17,3-Jun-16,27-Nov-15
Dolphine,The Hex,Preservation,"Stranger Things, Vol. 1 [Original Television Series Soundtrack]",The Bad Plus Joshua Redman
84,84,84,83,84
Mega Bog,Richard Swift,Nadia Reid,Kyle Dixon,The Bad Plus
User: 8.6,User: 6.7,User: 8.0,User: 8.3,User: tbd
28-Jun-19,21-Sep-18,3-Mar-17,12-Aug-16,26-May-15
Western Stars,Kids See Ghosts,A Shadow in Time,Nonagon Infinity,A Fool to Care
84,84,84,83,84
Bruce Springsteen,Kids See Ghosts,William Basinski,King Gizzard & the Lizard Wizard,Boz Scaggs
User: 7.1,User: 8.6,User: 7.5,User: 8.7,User: tbd
14-Jun-19,8-Jun-18,20-Jan-17,29-Apr-16,31-Mar-15
Empath,MITH,Take Me Apart,case/lang/veirs,How to Die in the North
84,84,84,83,84
Devin Townsend,Lonnie Holley,Kelela,Neko Case,BC Camplight
User: 8.5,User: tbd,User: 8.3,User: 7.9,User: 8.2
29-Mar-19,21-Sep-18,6-Oct-17,17-Jun-16,20-Jan-15
"Henryk Górecki: Symphony No. 3 ""Symphony of Sorrowful Songs"" [Live]",Last Man Standing,Godfather,Still Brazy,The Epic
84,84,84,83,83
Beth Gibbons,Willie Nelson,Wiley,YG,Kamasi Washington
User: 7.9,User: 7.7,User: 8.1,User: 8.5,User: 8.8
29-Mar-19,27-Apr-18,13-Jan-17,17-Jun-16,5-May-15
Quiet Signs,Body,Infinite Worlds,Wildflower,Y Dydd Olaf
84,84,84,83,83
Jessica Pratt,The Necks,Vagabon,The Avalanches,Gwenno
User: 7.7,User: tbd,User: 7.9,User: 8.3,User: 8.3
8-Feb-19,17-Aug-18,24-Feb-17,8-Jul-16,31-Jul-15
ANIMA,Ephorize,Resistance,Visions of Us on the Land,Hinterland
84,84,84,83,83
Thom Yorke,CupcakKe,Songhoy Blues,Damien Jurado,LoneLady
User: 8.8,User: 8.6,User: 7.0,User: 8.1,User: 7.4
27-Jun-19,5-Jan-18,16-Jun-17,18-Mar-16,24-Mar-15
